imdb_id,title,duration,genre,rating,vote_count,gross,year
tt0189456,Cut,82,"['Comedy, Horror, Mystery']",4.3,3196,,2000
tt0199290,3 Strikes,82,['Comedy'],4.8,3165,9821335,2000
tt0160644,Passion of Mind,105,"['Drama, Mystery, Romance']",5.5,3142,769009,2000
tt0209037,Everybody's Famous!,97,"['Comedy, Drama, Music']",6.9,3121,74628,2000
tt0168446,Aberdeen,106,['Drama'],7.1,3066,64148,2000
tt0217629,Looking for Alibrandi,103,"['Comedy, Drama, Romance']",7.0,2985,,2000
tt0197384,Crime + Punishment in Suburbia,100,"['Drama, Thriller']",5.9,2954,26394,2000
tt0182508,Urbania,103,['Drama'],6.8,2904,1032075,2000
tt0204640,Sordid Lives,111,"['Comedy, Romance']",6.8,2870,1111273,2000
tt0245910,Ftina tsigara,85,"['Comedy, Romance']",7.5,2768,,2000
tt0203940,Spiders,94,"['Horror, Sci-Fi, Thriller']",4.0,2716,,2000
tt0205418,The Smokers,96,['Thriller'],2.9,2612,,2000
tt0153464,Up at the Villa,115,"['Drama, Romance']",6.0,2562,2927319,2000
tt0197096,What's Cooking?,109,"['Comedy, Drama, Romance']",6.9,2506,1039374,2000
tt0217331,The Convent,79,"['Comedy, Fantasy, Horror']",5.0,2491,,2000
tt0255321,Liam,90,['Drama'],6.9,2466,1006408,2000
tt0196708,Lockdown,105,"['Drama, Thriller']",6.2,2386,449482,2000
tt0233600,Dong jing gong lüe,118,"['Action, Comedy, Drama']",5.9,2347,,2000
tt0221838,Borstal Boy,91,"['Drama, Romance']",6.8,2291,87074,2000
tt0218581,Scarlet Diva,90,['Drama'],5.1,2289,18062,2000
tt0196106,MVP: Most Valuable Primate,93,"['Comedy, Family, Sport']",4.1,2264,1246237,2000
tt0246498,The City of Lost Souls,102,"['Crime, Drama, Thriller']",6.3,2263,,2000
tt0141399,Isn't She Great,95,"['Biography, Comedy, Drama']",5.4,2262,2962465,2000
tt0210584,Bootmen,95,"['Comedy, Drama, Romance']",6.2,2231,21172,2000
tt0210943,Relative Values,87,['Comedy'],6.5,2225,,2000
tt0161216,Steal This Movie,107,"['Biography, Drama, Romance']",6.4,2197,76053,2000
tt0216741,Erkan &amp; Stefan,87,['Comedy'],4.8,2192,,2000
tt0181836,The Specials,82,"['Action, Comedy, Fantasy']",5.8,2173,12996,2000
tt0200472,Beautiful Joe,98,"['Comedy, Drama']",5.8,2169,,2000
tt0234805,The Legend of Rita,103,"['Drama, History, Romance']",6.9,2168,671565,2000
tt0197750,Paranoid,93,"['Crime, Horror, Thriller']",3.9,2162,,2000
tt0191037,Circus,95,"['Crime, Drama, Thriller']",5.6,2147,8406,2000
tt0193854,A Shot at Glory,114,"['Drama, Sport']",6.3,2130,,2000
tt0236019,Better Than Sex,95,"['Comedy, Drama, Romance']",6.3,2102,94940,2000
tt0188055,Mercy,117,"['Mystery, Thriller']",5.4,2093,,2000
tt0223954,The Prime Gig,98,['Drama'],6.1,2076,,2000
tt1068773,Meitantei Conan: Hitomi no naka no ansatsusha,100,"['Animation, Adventure, Crime']",7.6,2070,,2000
tt0216620,Christina's House,96,"['Drama, Mystery, Thriller']",4.3,2029,,2000
tt0206742,Fast Food Fast Women,95,"['Comedy, Romance']",6.4,2017,186586,2000
tt0280791,The Journey of Jared Price,95,"['Drama, Romance']",6.1,1995,,2000
tt0216417,The Wog Boy,92,['Comedy'],5.8,1971,,2000
tt0232632,Shiner,99,"['Crime, Drama, Thriller']",5.9,1970,,2000
tt0177650,Company Man,86,['Comedy'],5.4,1963,146028,2000
tt0221928,Seven Days to Live,96,"['Drama, Horror, Thriller']",5.2,1939,,2000
tt0251141,Innocence,94,['Drama'],7.3,1886,292824,2000
tt0156757,Mad About Mambo,92,"['Comedy, Drama, Romance']",6.0,1882,61663,2000
tt0222293,Possible Worlds,93,"['Mystery, Sci-Fi, Crime']",6.8,1881,,2000
tt0212604,Tully,102,['Drama'],7.2,1852,433264,2000
tt0208911,The King Is Alive,110,['Drama'],6.3,1840,103505,2000
tt0246765,Lumumba,115,"['Biography, Drama, History']",7.2,1804,684121,2000
tt0246875,Purely Belter,99,"['Comedy, Drama']",6.7,1802,,2000
tt0219405,Waydowntown,87,['Comedy'],6.7,1795,19583,2000
tt0258761,Last Resort,73,"['Drama, Romance']",7.2,1794,114657,2000
tt0218067,The Calling,89,"['Horror, Thriller']",4.2,1781,,2000
tt0255195,The Goddess of 1967,119,"['Comedy, Drama, Romance']",6.9,1747,,2000
tt0180837,Bossa Nova,95,"['Comedy, Romance, Drama']",6.2,1719,1816792,2000
tt0139388,It Had to Be You,96,"['Comedy, Romance']",5.7,1701,,2000
tt0266555,Freeze Me,101,"['Drama, Thriller']",6.2,1694,,2000
